#,Pick,Name,Pos,Team,Overall,StdDev,High,Low,TimesDrafted,Column1
1,1.01,Chris Johnson,RB,TEN,1.4,1.3,1.01,2.12,422,
2,1.02,Adrian Peterson,RB,MIN,2.3,1.3,1.01,2.11,342,
3,1.03,Ray Rice,RB,BAL,3.2,1.5,1.01,2.1,203,
4,1.05,Maurice Jones-Drew,RB,JAX,4.7,1.5,1.01,2.09,325,
5,1.05,Andre Johnson,WR,HOU,4.8,2.6,1.01,5.01,427,
6,1.06,Frank Gore,RB,SF,6.2,1.5,1.04,2.08,369,
7,1.08,Aaron Rodgers,QB,GB,7.8,2.6,1.01,2.05,344,
8,1.08,Randy Moss,WR,TEN,8.1,2.9,1.02,5.02,302,
9,1.09,Michael Turner,RB,ATL,9.1,2.1,1.03,2.06,312,
10,1.11,Reggie Wayne,WR,IND,11.2,3.2,1.05,5.03,307,
11,1.11,Steven Jackson,RB,LAR,11.3,2.8,1.05,2.09,351,
12,1.12,Calvin Johnson,WR,DET,12.3,3.4,1.04,5.06,388,
13,2.01,Drew Brees,QB,NO,13.2,3.8,1.02,2.12,368,
14,2.02,Miles Austin,WR,DAL,13.9,3.5,1.06,5.04,346,
15,2.03,Roddy White,WR,ATL,14.8,3.4,1.01,5.07,434,
16,2.03,Ryan Mathews,RB,LAC,15.4,3.6,1.06,3.06,380,
17,2.05,Brandon Marshall,WR,MIA,17.3,3.7,1.03,5.05,421,
18,2.07,Larry Fitzgerald,WR,ARI,19,3.6,1.1,5.08,362,
19,2.07,Rashard Mendenhall,RB,PIT,19.2,4.6,1.06,3.08,318,
20,2.08,Greg Jennings,WR,GB,20.4,3.7,1.11,5.11,386,
21,2.09,Peyton Manning,QB,IND,20.6,4.4,1.02,3.1,371,
22,2.1,DeAngelo Williams,RB,CAR,22.3,5,1.08,3.1,346,
23,3.01,DeSean Jackson,WR,PHI,24.7,4.4,2.04,6.05,316,
24,3.01,Jamaal Charles,RB,KC,24.9,6.1,1.1,4.06,342,
25,3.02,Marques Colston,WR,NO,25.7,4.1,2.05,5.1,403,
26,3.03,Shonn Greene,RB,NYJ,26.8,5.6,1.09,4.01,218,
27,3.03,Tom Brady,QB,NE,26.9,6.1,1.03,4.08,366,
28,3.03,Wes Welker,WR,NE,27.4,4.6,1.06,5.09,372,
29,3.05,Ryan Grant,RB,GB,29.4,5,2.01,4.06,321,
30,3.07,Anquan Boldin,WR,BAL,30.8,5.3,1.06,6.06,352,
31,3.08,Steve Smith,WR,NYG,32.1,5.7,2.03,5.12,364,
32,3.08,Pierre Thomas,RB,NO,32.1,4.5,2.05,4.09,341,
33,3.09,Cedric Benson,RB,CIN,33,5.2,2.06,4.12,318,
34,3.11,Matt Schaub,QB,HOU,35.1,7.4,1.05,5.07,363,
35,3.11,LeSean McCoy,RB,PHI,35.3,4.8,2.08,4.12,383,
36,3.12,Jahvid Best,RB,DET,36,6.1,2.05,5.04,452,
37,3.12,Steve Smith,WR,CAR,36,5.7,2.08,6.01,335,
38,3.12,Tony Romo,QB,DAL,36.3,7.3,1.06,5.09,239,
39,4.02,Arian Foster,RB,HOU,38.2,6.5,2.01,5.09,544,
40,4.03,Dallas Clark,TE,IND,38.9,7.3,2.04,8.01,291,
41,4.06,Antonio Gates,TE,LAC,42.2,5.6,2.12,8.02,302,
42,4.06,Michael Crabtree,WR,SF,42.5,6.5,3.02,6.12,279,
43,4.07,Jermichael Finley,TE,GB,42.6,6.1,2.03,8.03,383,
44,4.07,Matt Forte,RB,CHI,43.3,5.9,3.03,6.07,388,
45,4.1,Chad Johnson,WR,CIN,46,6.5,3.02,7.04,281,
46,4.1,Joseph Addai,RB,IND,46.2,7.8,3.02,6.07,428,
47,4.11,Dwayne Bowe,WR,KC,46.8,6.4,3.04,6.09,353,
48,4.12,Philip Rivers,QB,LAC,47.9,8,1.07,7.02,268,
