#,Pick,Name,Pos,Team,Overall,StdDev,High,Low,TimesDrafted,Column1
49,5.03,Beanie Wells,RB,ARI,50.6,9.2,3.01,11.02,233,
50,5.04,Vernon Davis,TE,SF,52.1,6.9,4.01,8.04,272,
51,5.05,Jonathan Stewart,RB,CAR,53,6.8,3.01,6.11,284,
52,5.06,Hakeem Nicks,WR,NYG,54.1,7.7,3.07,7.08,396,
53,5.06,Knowshon Moreno,RB,DEN,54.4,7,3.04,7.05,297,
54,5.07,Ronnie Brown,RB,MIA,54.6,7.6,3.03,7.04,333,
55,5.07,Jason Witten,TE,DAL,55,6.2,4.06,8.05,259,
56,5.08,Mike Sims-Walker,WR,JAX,56,7.6,3.08,7.01,303,
57,5.08,C.J. Spiller,RB,None,56.4,8.2,3.02,7.03,437,
58,5.09,Hines Ward,WR,PIT,56.8,8.1,3.01,7.04,317,
59,5.11,Pierre Garcon,WR,IND,58.8,8.5,3.03,7.12,363,
60,6.02,Brent Celek,TE,PHI,61.9,7.7,4.01,8.07,194,
61,6.03,Reggie Bush,RB,NO,62.9,7.7,4.01,9.01,394,
62,6.03,Malcom Floyd,WR,LAC,63.1,8.5,4.06,8.09,433,
63,6.04,Ahmad Bradshaw,RB,NYG,63.8,8.2,4.01,8.07,514,
64,6.05,Felix Jones,RB,DAL,65.4,8.2,3.04,7.11,217,
65,6.06,Joe Flacco,QB,BAL,66.3,11,1.08,9.04,452,
66,6.07,Donald Driver,WR,GB,66.7,8.1,4.09,8.04,267,
67,6.07,Kevin Kolb,QB,PHI,67.3,13,1.11,9.03,157,
68,6.09,Tony Gonzalez,TE,ATL,68.5,8.5,5.01,8.12,216,
69,6.1,Justin Forsett,RB,SEA,70.1,10.2,3.01,9.03,185,
70,6.1,Jeremy Maclin,WR,PHI,70.5,8.2,4.12,8.07,338,
71,6.12,Santana Moss,WR,WAS,71.6,9,3.01,8.11,279,
72,6.12,Terrell Owens,WR,CIN,72.3,8.3,4.1,8.09,374,
73,7.01,Johnny Knox,WR,CHI,72.6,8.2,4.07,8.12,335,
74,7.01,Mike Wallace,WR,PIT,73.2,7.9,5.01,9.02,431,
75,7.02,Jerome Harrison,RB,PHI,74.3,9.8,4.02,9.09,476,
76,7.04,Marion Barber,RB,DAL,75.6,8.9,4.01,9.01,236,
77,7.09,Jay Cutler,QB,CHI,80.5,12.3,1.12,10.01,200,
78,7.09,Ricky Williams,RB,MIA,80.8,9.1,4.01,9.1,283,
79,7.09,Owen Daniels,TE,HOU,81.4,12.2,5.1,12.12,216,
80,7.12,Dez Bryant,WR,DAL,83.5,8.5,5.01,10.01,319,
81,7.12,Carnell Williams,RB,TB,83.7,8.9,4.07,10.09,371,
82,8.01,Brandon Jacobs,RB,NYG,84.5,10.4,4.03,10.11,130,
83,8.01,Clinton Portis,RB,WAS,85.1,9.3,4.06,10.01,346,
84,8.01,T.J. Houshmandzadeh,WR,BAL,85.2,11.2,5.1,10.1,105,
85,8.02,Michael Bush,RB,LV,85.6,9.6,4.02,9.11,148,
86,8.03,Santonio Holmes,WR,NYJ,87.3,9.1,5.06,10.06,260,
87,8.04,Brett Favre,QB,MIN,88,15.2,1.09,11.01,233,
88,8.06,NY Jets Defense,DEF,NYJ,90.4,9.2,5.05,10.04,171,
89,8.08,Robert Meachem,WR,NO,91.8,10.6,5.02,10.1,263,
90,8.08,Chris Cooley,TE,WAS,91.9,15.2,5.1,12.11,262,
91,8.08,Matt Ryan,QB,ATL,92,14.2,3.01,11.08,287,
92,8.09,LaDainian Tomlinson,RB,NYJ,93,10.9,5.02,11.01,438,
93,8.1,Devin Aromashodu,WR,CHI,93.8,10.8,5.05,11.01,186,
94,8.11,Eli Manning,QB,NYG,94.8,14,1.1,11.04,324,
95,8.11,Thomas Jones,RB,KC,95.2,10.6,6.01,11.04,168,
96,8.11,Derrick Mason,WR,BAL,95.4,11,6.12,11.08,303,
97,9.02,Steve Breaston,WR,ARI,97.6,12.8,6.03,12.09,181,
98,9.02,Braylon Edwards,WR,NYJ,97.9,11.3,7.04,11.02,128,
99,9.03,Tim Hightower,RB,ARI,98.9,11.5,4.04,12.04,422,
100,9.03,Visanthe Shiancoe,TE,MIN,99.1,19.9,5.08,13.12,270,
101,9.03,Carson Palmer,QB,CIN,99.3,15,4.04,12.02,294,
102,9.04,Eddie Royal,WR,DEN,100.2,12.1,7.01,12.11,205,
103,9.05,Donald Brown,RB,IND,101.2,9.3,7.04,11.1,221,
104,9.07,Jabar Gaffney,WR,DEN,103.2,12.8,6.03,12.08,496,
105,9.09,Darren McFadden,RB,LV,104.6,11.6,6.11,13.03,301,
106,9.1,Zach Miller,TE,LV,105.8,18.4,5.06,14.07,526,
107,9.11,Vincent Jackson,WR,LAC,107.2,17.9,5.09,13.12,213,
108,9.12,Minnesota Defense,DEF,MIN,107.7,10.3,6.12,12.11,134,
109,9.12,Steve Slaton,RB,HOU,108.2,12.7,7.04,12.03,60,
110,10.01,Julian Edelman,WR,NE,109.5,11.3,5.1,12.03,126,
111,10.02,Bernard Berrian,WR,MIN,109.6,13,6.12,12.09,342,
112,10.02,Donovan McNabb,QB,WAS,110,11,7.01,12.04,111,
113,10.04,Devin Hester,WR,CHI,111.6,13.1,7.08,13.1,125,
114,10.04,Darren Sproles,RB,LAC,112.1,14.2,5.02,13.03,213,
115,10.04,Green Bay Defense,DEF,GB,112.2,9.2,7.04,12.1,121,
116,10.06,Ben Roethlisberger,QB,PIT,113.5,11.4,7.06,13.01,510,
117,10.06,Lee Evans,WR,None,114.5,12.7,7.01,13.04,248,
118,10.06,Kellen Winslow,TE,TB,114.5,19.3,6.06,14.04,293,
119,10.07,San Francisco Defense,DEF,SF,114.7,10.7,7.02,12.1,231,
120,10.11,Montario Hardesty,RB,CLE,119.3,25.6,8.01,15.07,22,
121,10.11,Anthony Gonzalez,WR,IND,119.4,13.4,6.1,12.12,101,
122,11.01,Kenny Britt,WR,TEN,120.6,13.6,7.07,15.04,161,
123,11.02,Laurence Maroney,RB,DEN,122.5,14.1,8.03,13.1,130,
124,11.03,Mohamed Massaquoi,WR,CLE,122.9,13.2,7.08,14.09,205,
125,11.03,Matthew Stafford,QB,DET,123.3,11,8.04,13.12,346,
126,11.05,Chester Taylor,RB,CHI,125.3,14.6,7.11,15.01,249,
127,11.06,Chad Henne,QB,MIA,125.5,12.8,8.01,15.11,186,
128,11.09,Pittsburgh Defense,DEF,PIT,129.2,12.1,8.09,15.04,208,
129,11.11,Nate Kaeding,PK,LAC,131.5,14.8,5.11,14.04,99,
130,11.12,Alex Smith,QB,SF,132.3,10.9,8.12,14.03,175,
131,12.01,Jacoby Jones,WR,HOU,132.8,18,7.07,15.12,504,
132,12.01,Austin Collie,WR,IND,132.8,17.2,5.07,15.02,89,
133,12.01,Willis McGahee,RB,BAL,132.9,14.8,7.09,15.09,182,
134,12.02,Josh Cribbs,WR,CLE,134,13,9.07,14.1,91,
135,12.03,Demaryius Thomas,WR,DEN,134.5,13.6,7.07,14.01,43,
136,12.04,Roy Williams,WR,DAL,135.6,14.5,8.1,14.1,71,
137,12.04,Nate Burleson,WR,DET,136.2,12.3,9.01,14.09,174,
138,12.05,New Orleans Defense,DEF,NO,136.6,13.1,9.11,15.02,145,
139,12.05,Leon Washington,RB,SEA,136.8,16.3,7.06,15.08,364,
140,12.05,Dexter McCluster,WR,KC,137.1,15.4,8.01,15.02,236,
141,12.06,Legedu Naanee,WR,LAC,137.6,12,8.06,14.12,247,
142,12.06,Sidney Rice,WR,MIN,138.1,13.3,9.07,14.1,252,
143,12.06,Philadelphia Defense,DEF,PHI,138.4,15,8.1,15.12,275,
144,12.07,Golden Tate,WR,SEA,139.1,12.2,10.06,14.07,75,
145,12.08,Jerricho Cotchery,WR,NYJ,139.8,13.9,8.04,14.07,62,
146,12.08,Baltimore Defense,DEF,BAL,139.9,13.3,8.1,15.12,231,
147,12.08,John Carlson,TE,SEA,140.2,19.1,7.11,15.08,211,
148,12.09,Vince Young,QB,TEN,141.2,12.9,9.12,15.02,149,
149,12.12,Garrett Hartley,PK,NO,143.6,15,5.02,14.09,147,
150,13.02,Laurent Robinson,WR,LAR,145.8,18.4,7.06,15.12,330,
151,13.02,Mark Sanchez,QB,NYJ,146.4,11.9,9.11,15.03,50,
152,13.02,Kevin Boss,TE,NYG,146.4,17.5,10.07,15.12,21,
153,13.05,Heath Miller,TE,PIT,149,18.8,7.11,15.12,248,
154,13.05,Dustin Keller,TE,NYJ,149.3,21.8,7.05,15.12,156,
155,13.05,Mason Crosby,PK,GB,149.4,13,8.04,15.07,136,
156,13.06,Matt Cassel,QB,KC,149.8,11.8,10.08,15.07,82,
157,13.06,Bernard Scott,RB,CIN,150.1,14.5,10.04,15.12,222,
158,13.07,Mike Williams,WR,SEA,150.6,20.6,7.11,15.11,118,
159,13.07,Kevin Smith,RB,DET,151.1,16,9.06,15.12,96,
160,13.07,Devery Henderson,WR,NO,151.2,22.2,7.05,15.12,61,
161,13.07,Greg Olsen,TE,CHI,151.2,20,7.06,15.12,120,
162,13.08,Larry Johnson,RB,WAS,151.9,16.5,10.04,15.12,122,
163,13.08,Jermaine Gresham,TE,CIN,152.3,19.1,6.08,15.12,192,
164,13.08,Dallas Defense,DEF,DAL,152.4,13.1,10.08,15.12,185,
165,13.08,Correll Buckhalter,RB,DEN,152.4,18.5,10.06,15.09,54,
166,13.09,Jason Campbell,QB,LV,152.8,12.2,11.03,15.05,37,
167,13.09,Fred Taylor,RB,NE,152.9,17.9,8.06,15.12,127,
168,13.09,Brian Westbrook,RB,SF,153,19.2,10.01,15.12,57,
169,13.09,Mike Bell,RB,CLE,153.1,15.8,10.05,15.09,31,
170,13.09,Toby Gerhart,RB,MIN,153.2,14.4,10.01,15.09,91,
171,13.1,Rashad Jennings,RB,JAX,153.8,17.3,10.09,15.08,40,
172,13.1,Greg Camarillo,WR,MIN,153.9,20.4,9.02,15.12,34,
173,13.11,Rob Gronkowski,TE,NE,154.6,18.4,8.1,15.12,55,
174,13.11,Tashard Choice,RB,DAL,154.8,15.3,10.02,15.12,94,
175,13.11,Peyton Hillis,RB,CLE,155,18.9,7.08,15.12,87,
176,13.11,Mike Thomas,WR,JAX,155.3,15.5,10.04,15.11,70,
177,13.12,James Davis,RB,CLE,155.8,14.2,11.02,15.08,28,
178,13.12,Jeremy Shockey,TE,NO,156.1,19.7,9.04,15.12,68,
179,13.12,Louis Murphy,WR,LV,156.5,13.6,11.08,15.08,33,
180,14.01,Kyle Orton,QB,DEN,156.8,16.6,9.08,15.12,79,
181,14.02,Devin Thomas,WR,WAS,158.1,13.5,10.12,15.12,57,
182,14.02,Stephen Gostkowski,PK,NE,158.3,11.3,8.1,15.1,149,
183,14.02,Chris Chambers,WR,KC,158.4,15.4,11.02,15.11,28,
184,14.03,Kareem Huggins,RB,TB,159.3,14.5,10.02,15.12,66,
185,14.04,Chicago Defense,DEF,CHI,159.5,11.2,11.01,15.12,95,
186,14.04,James Jones,WR,GB,159.6,13.2,10.04,15.12,90,
187,14.04,Sam Bradford,QB,LAR,160.3,15.1,8.06,15.12,74,
188,14.04,Marshawn Lynch,RB,SEA,160.4,15.2,11.11,15.12,47,
189,14.05,Mario Manningham,WR,NYG,160.7,16.9,6.11,15.12,78,
190,14.05,Kevin Walter,WR,HOU,160.7,15,10.08,15.12,59,
191,14.06,Davone Bess,WR,MIA,161.7,13.4,10.01,15.12,60,
192,14.06,Indianapolis Defense,DEF,IND,161.9,8.8,12.12,15.08,20,
193,14.06,NY Giants Defense,DEF,NYG,162,13.3,9.06,15.12,98,
194,14.06,Matt Hasselbeck,QB,SEA,162.2,18.5,8.01,15.12,39,
195,14.06,Cincinnati Defense,DEF,CIN,162.3,9.9,11.12,15.12,233,
196,14.06,Ryan Longwell,PK,MIN,162.3,10.3,10.09,15.12,243,
197,14.07,LA Chargers Defense,DEF,LAC,162.5,10.5,11.12,15.12,95,
198,14.07,Matt Moore,QB,CAR,163.1,13.8,10.08,15.12,21,
199,14.07,Derek Anderson,QB,ARI,163.5,14.4,11.11,15.12,45,
200,14.08,Tennessee Defense,DEF,TEN,163.5,10.8,12.08,15.11,77,
201,14.08,David Garrard,QB,JAX,163.7,12.8,11.02,15.1,25,
202,14.09,Early Doucet,WR,ARI,164.9,14.7,10.11,15.12,22,
203,14.09,Washington Defense,DEF,WAS,165.5,9.9,12.04,15.12,30,
204,14.1,Lance Moore,WR,NO,165.9,10.9,11.12,15.11,44,
205,14.12,Rob Bironas,PK,TEN,167.6,11.5,9.02,15.12,125,
206,15.01,Miami Defense,DEF,MIA,169.2,8,13.09,15.12,37,
207,15.03,David Akers,PK,PHI,171,6.8,12.07,15.12,260,
208,15.04,Sebastian Janikowski,PK,LV,171.7,8.4,12.08,15.11,30,
209,15.04,Neil Rackers,PK,HOU,172.1,8.6,11.02,15.12,136,
210,15.04,Adam Vinatieri,PK,IND,172.4,7,12.01,15.12,113,
