#,Pick,Name,Pos,Team,Overall,StdDev,High,Low,TimesDrafted,Column1
80,7.12,Plaxico Burress,WR,NYJ,83.6,8.4,6.02,9.08,94,
81,8.02,Mike Thomas,WR,JAX,85.5,7,7.02,10.01,94,
82,8.03,Daniel Thomas,RB,MIA,87.2,9.4,6.03,10.04,43,
83,8.04,Sidney Rice,WR,SEA,88.1,13,5.01,11.11,57,
84,8.04,Pittsburgh Defense,DEF,PIT,88.3,7.4,6.03,10.03,136,
85,8.05,Kellen Winslow,TE,TB,89.3,16.5,6.07,12.07,69,
86,8.06,Malcom Floyd,WR,LAC,89.9,11.1,6.03,10.03,84,
87,8.06,James Starks,RB,GB,90.1,8.1,7.04,10.04,109,
88,8.07,Brandon Jacobs,RB,NYG,90.5,7.9,6.04,10.01,106,
89,8.08,Josh Freeman,QB,TB,92.3,11.2,6.09,10.1,101,
90,8.09,Lance Moore,WR,NO,92.9,9.2,6.04,10.05,98,
91,8.09,Pierre Garcon,WR,IND,93.5,13.5,5.1,11.02,31,
92,8.1,Mike Sims-Walker,WR,FA,93.9,10.1,6.04,10.09,102,
93,8.11,Green Bay Defense,DEF,GB,94.5,7,7.01,9.09,46,
94,8.12,Jonathan Stewart,RB,CAR,96.1,9.8,7.01,11.03,61,
95,9.01,A.J. Green,WR,CIN,96.7,11.5,6.08,11.03,112,
96,9.02,Pierre Thomas,RB,NO,98.5,9.8,7.03,10.11,79,
97,9.03,Philadelphia Defense,DEF,PHI,98.8,7.9,7.05,11.05,35,
98,9.03,Sam Bradford,QB,LAR,99.1,12.4,6.03,11.09,127,
99,9.05,C.J. Spiller,RB,None,101.5,10.2,7.09,11.08,63,
100,9.06,Steve Smith,WR,CAR,102.5,10.9,6.03,11.02,89,
101,9.07,NY Jets Defense,DEF,NYJ,102.5,9.4,4.12,10.11,55,
102,9.07,Ben Tate,RB,HOU,103.2,8.4,7.07,11.03,76,
103,9.08,Eli Manning,QB,NYG,103.9,13,6.09,11.07,75,
104,9.08,Nate Burleson,WR,DET,104,9.8,7.04,12.01,131,
105,9.09,Danny Woodhead,RB,NE,105.2,16.2,2.12,11.06,49,
106,9.11,Hines Ward,WR,PIT,106.7,12.5,7.01,12.01,48,
107,9.12,Marcedes Lewis,TE,JAX,108.4,18.6,5.09,12.1,72,
108,10.01,Johnny Knox,WR,CHI,109,12.6,7.02,12.02,53,
109,10.01,Davone Bess,WR,MIA,109.3,11.1,7.12,11.12,81,
110,10.03,Willis McGahee,RB,DEN,110.7,11.1,7.11,13.02,82,
111,10.03,Baltimore Defense,DEF,BAL,111,6.3,9.06,11.08,29,
112,10.04,New England Defense,DEF,NE,112,8.5,9.03,12.07,42,
113,10.04,Michael Bush,RB,LV,112.2,11.1,8.02,12.09,97,
114,10.04,Joe Flacco,QB,BAL,112.4,15,2.12,11.12,85,
